,nox,nox_categoria
651,13.3634,Bajo
652,10.9574,Bajo
653,8.5514,Bajo
654,26.8257,Bajo
655,43.3667,Medio
656,68.20465,Alto
657,82.07355,Alto
658,81.8125,Alto
659,65.96735000000001,Alto
660,62.7907,Alto
661,88.5312,Alto
662,52.42225,Medio
663,59.9584,Alto
664,59.2147,Alto
665,66.9586,Alto
666,36.9215,Medio
667,55.72,Alto
668,51.28415,Medio
669,46.8483,Medio
670,63.00625,Alto
671,56.1973,Alto
672,23.6,Bajo
673,23.5352,Bajo
674,38.5036,Medio
675,30.6913,Bajo
676,27.3158,Bajo
677,29.38845,Bajo
678,48.76725,Medio
679,86.1099,Alto
680,164.207,Alto
681,65.6156,Alto
682,91.1376,Alto
683,58.56275,Alto
684,47.49155,Medio
685,27.3614,Bajo
686,19.7652,Bajo
687,16.071673333333333,Bajo
688,19.109566666666662,Bajo
689,23.55393,Bajo
690,31.83268,Medio
691,36.950806666666665,Medio
692,41.174953333333335,Medio
693,35.37027333333333,Medio
694,28.029156666666665,Bajo
695,29.5769,Bajo
696,24.298450000000003,Bajo
697,16.70235,Bajo
698,12.978866666666669,Bajo
699,9.863693333333332,Bajo
700,13.7761,Bajo
701,14.587086666666666,Bajo
702,31.58439,Bajo
703,43.367,Medio
704,94.2664,Alto
705,103.56,Alto
706,50.214866666666666,Medio
707,33.04593333333333,Medio
708,21.036646666666662,Bajo
709,17.210133333333335,Bajo
710,18.977666666666668,Bajo
711,19.447566666666667,Bajo
712,19.502233333333333,Bajo
713,21.992933333333337,Bajo
714,27.18267,Bajo
715,34.983290000000004,Medio
716,37.63589333333333,Medio
717,35.8152,Medio
718,28.615466666666663,Bajo
719,25.8448,Bajo
720,17.753633333333333,Bajo
721,13.722676666666668,Bajo
722,12.95304,Bajo
723,13.4855,Bajo
724,13.191933333333331,Bajo
725,12.69659,Bajo
726,23.0428,Bajo
727,41.7814,Medio
728,48.16823333333334,Medio
729,51.811366666666665,Medio
730,46.6877,Medio
731,33.236866666666664,Medio
732,27.406433333333336,Bajo
733,24.12773333333333,Bajo
734,23.562833333333334,Bajo
735,20.942400000000003,Bajo
736,21.854066666666668,Bajo
737,26.316466666666667,Bajo
738,31.19106666666667,Bajo
739,31.57206666666667,Bajo
740,32.58644333333333,Medio
741,31.117896666666667,Bajo
742,31.73715,Medio
743,26.82875,Bajo
744,16.92892666666667,Bajo
745,19.403,Bajo
746,16.7649,Bajo
747,11.921323333333332,Bajo
748,15.300249999999998,Bajo
749,19.625266666666665,Bajo
750,28.46793333333333,Bajo
751,62.48276666666667,Alto
752,107.9198,Alto
753,91.30945,Alto
754,73.27074999999999,Alto
755,44.80783333333333,Medio
756,32.03146666666667,Medio
757,24.034366666666667,Bajo
758,16.9722,Bajo
759,21.948266666666665,Bajo
760,25.985633333333336,Bajo
761,32.03713333333334,Medio
762,39.52186666666666,Medio
763,49.44373333333333,Medio
764,58.43245,Alto
765,71.6035,Alto
766,21.86295,Bajo
767,46.62485,Medio
768,24.43386666666667,Bajo
769,21.8896,Bajo
770,16.793766666666667,Bajo
771,14.2787,Bajo
772,13.916333333333332,Bajo
773,13.734966666666669,Bajo
774,24.93303333333333,Bajo
775,39.91833333333333,Medio
776,28.5095,Bajo
777,88.9797,Alto
778,57.092650000000006,Alto
779,42.50436666666667,Medio
780,30.7135,Bajo
781,20.88533333333333,Bajo
782,19.6648,Bajo
783,17.920466666666666,Bajo
784,19.07443333333333,Bajo
785,19.7293,Bajo
786,22.081566666666664,Bajo
787,23.0119,Bajo
788,25.0342,Bajo
789,36.005849999999995,Medio
790,34.787,Medio
791,23.961166666666667,Bajo
792,28.30116666666667,Bajo
793,20.81673333333333,Bajo
794,16.6707,Bajo
795,16.482066666666665,Bajo
