,no,no_sqrt
3219,15.991,3.9988748417523645
3220,22.499566666666663,4.743370812688658
3221,27.45843333333333,5.24007951593612
3222,43.68643333333333,6.609571342631331
3223,66.92693333333334,8.18088829732648
3224,104.44615,10.219889921129289
3225,41.842,6.46853924777457
3226,24.0543,4.904518324973412
3227,12.49225,3.5344377204868103
3228,9.07205,3.0119843957099115
3229,21.8589,4.675350254259032
3230,18.72353333333333,4.327069832269099
3231,33.35025,5.774967532376265
3232,24.99373333333333,4.9993732940573
3233,23.8083,4.87937495997182
3234,26.2022,5.118808455099683
3235,24.47243333333333,4.946962030714743
3236,40.7855,6.3863526366776835
3237,48.2614,6.947042536216401
3238,64.07466666666666,8.004665306348958
3239,66.85595,8.176548782952377
3240,48.5265,6.966096467893622
3241,12.85865,3.585895982875131
3242,38.910466666666665,6.237825475810193
3243,35.607933333333335,5.967238333880534
3244,8.2232,2.8676122471491854
3245,37.256,6.1037693272272335
3246,52.526833333333336,7.2475398124697
3247,78.58246666666666,8.864675214956646
3248,77.38783333333333,8.797035485510635
3249,42.0529,6.484820737691983
3250,12.523599999999998,3.538869876104517
3251,31.1965,5.585382708463226
3252,18.95423333333333,4.353645981626587
